Country	rel_fatality
United States	48.93098291141344
Canada	112.8163413747121
Bahamas	24675.583333333336
Cuba	13.913889564582826
Haiti	174.27122940430925
Dominican Republic	91.45299145299144
Jamaica	464.22018348623857
Trinidad and Tobago	640.506329113924
Barbados	2566.666666666667
Grenada	9350
Mexico	133.84056717966453
Belize	9000
Guatemala	79.77839335180056
Honduras	88.79310344827587
El Salvador	73.53184449958643
Nicaragua	36.01059135039718
Costa Rica	151.85185185185185
Panama	104.55927051671732
Colombia	6.9981718464351
Venezuela	9.300111982082868
Guyana	59.230769230769226
Suriname	106.76470588235294
Ecuador	37.669779286926996
Peru	97.40402614379084
Brazil	254.79494556326506
Bolivia	2362.0688854489163
Paraguay	12517.567567567568
Chile	43.72223105037343
Argentina	67.2675821889305
Uruguay	288.2896379525593
United Kingdom	206.64583907346298
Ireland	8918.178873023186
Netherlands	44.15715249069107
Belgium	113.79820665381715
Luxembourg	6094.812698412698
France	152.5917827888914
Switzerland	3456.5396373156736
Spain	6.070066173608407
Portugal	121.3395695213877
Hanover	21.323529411764707
Bavaria	42.431830829159715
Germany	942.319874826812
German Federal Republic	1548.2303149606298
German Democratic Republic	3490.178599235561
Baden	50.858143607705784
Saxony	32.60188087774295
Wuerttemburg	67.09750566893425
Hesse Electoral	12.944162436548224
Hesse Grand Ducal	11.353711790393012
Mecklenburg Schwerin	26.041666666666668
Poland	397.46416758544655
Austria-Hungary	3288.1085395051878
Austria	224.51987704918034
Hungary	550.2444658325313
Czechoslovakia	9.83629593198904
Czech Republic	36.67481662591687
Slovakia	60.24096385542168
Italy	242.23559868718877
Papal States	93.56435643564357
Two Sicilies	5.371321812237273
Modena	29.23076923076923
Parma	25.641025641025642
Tuscany	15.151515151515152
Malta	45.833333333333336
Albania	2.916396629941672
Montenegro	14.285714285714286
Macedonia	7.614213197969543
Croatia	9.75609756097561
Yugoslavia	460.4173810637156
Bosnia and Herzegovina	1725.3997923156803
Slovenia	7287.543859649123
Greece	102.8076433241196
Cyprus	44.28044280442805
Bulgaria	222.25242718446603
Moldova	3189.189189189189
Romania	764.6946814013637
Russia	105.74372575569056
Estonia	204.7945205479452
Latvia	194.4255319148936
Lithuania	23.55072463768116
Ukraine	1.4388489208633093
Belarus	6.183745583038869
Armenia	121.54696132596685
Georgia	405.5299539170507
Azerbaijan	127.81954887218045
Finland	646.2436912419594
Sweden	413.2040041317293
Norway	124.78991596638654
Denmark	127.33249105074752
Cape Verde	1454.0342465753426
Sao Tome and Principe	3350.5208333333335
Guinea-Bissau	379.72569444444446
Equatorial Guinea	1920.2985074626865
Gambia	4610.316666666667
Mali	406.29473684210524
Senegal	277.68345323741005
Benin	731.7156398104266
Mauritania	298.6305609284332
Niger	783.715736040609
Ivory Coast	328.49361702127663
Guinea	241.47897897897897
Burkina Faso	467.8545454545455
Liberia	651.1451219512195
Sierra Leone	646.0491452991453
Ghana	214.43333333333334
Togo	573.9479553903345
Cameroon	243.13700787401575
Nigeria	26.711418685121107
Gabon	686.1866666666666
Central African Republic	983.3885350318471
Chad	54.054054054054056
Congo	96
Democratic Republic of the Congo	2.090592334494773
Uganda	49.3915533285612
Kenya	86.31713554987213
Tanzania	31.14645460569914
Burundi	61.57965194109772
Rwanda	51.74353205849269
Somalia	278.13357731015554
Djibouti	1333.3333333333333
Ethiopia	140.1361803792743
Eritrea	353.1073446327684
Angola	11.285909712722297
Mozambique	34.700315457413254
Zambia	63.86066763425254
Zimbabwe	29.7990297990298
Malawi	177.41935483870967
South Africa	93.39622641509433
Namibia	550
Lesotho	3029.5081967213114
Botswana	988.2352941176471
Swaziland	2070.5882352941176
Madagascar	275.7493188010899
Comoros	5028.571428571428
Mauritius	5923.076923076923
Seychelles	8800
Morocco	61.69150731158606
Algeria	34.28060413354531
Tunisia	189.8513701811426
Libya	80.75179448432188
Sudan	62.84241057041573
Iran	2474.2737249838606
Turkey	157.60721138471376
Iraq	421.73845138583374
Egypt	25.278020606795252
Syria	7.9438120610317275
Lebanon	18.278301886792452
Jordan	34.64107470302161
Israel	9.466956102267245
Saudi Arabia	1.1600633914421552
Yemen Arab Republic	86.55126498002663
Yemen	27.397260273972602
Yemen People's Republic	79.3103448275862
Kuwait	72.86821705426357
Bahrain	167.420814479638
Qatar	0
United Arab Emirates	0.1354484441732764
Oman	0
Afghanistan	50.356438647049906
Turkmenistan	183.90804597701148
Tajikistan	615.3846153846154
Kyrgyzstan	338.62433862433863
Uzbekistan	89.13649025069638
Kazakhstan	85.90604026845638
China	103.6885949977835
Mongolia	156.6579634464752
Taiwan	2.8339072382290937
Korea	166.25675675675677
North Korea	476.60811963667385
South Korea	96.28013006780131
Japan	668.537718604329
India	1.9871219071971122
Bhutan	430.29139072847687
Pakistan	7.774080096812011
Bangladesh	31.58552460296798
Myanmar	17.12108382726503
Sri Lanka	78.28106852497096
Nepal	120.01618777822745
Thailand	3.377833245089882
Cambodia	50.80174388531738
Laos	231.74157303370785
Vietnam	195.3383663816627
Republic of Vietnam	222.3638879475884
Malaysia	1440.5125473484848
Singapore	2566.412372853093
Brunei	23279.674796747968
Philippines	6.459072696050372
Indonesia	1.850315910396324
East Timor	546
Australia	93.41265704979061
Papua New Guinea	1827.4607999999998
New Zealand	891.324200913242
Fiji	4373.584905660377
